Sample_ID,N_LOC,Site,HvW,Year,OR,FL
VE554,CNH,Coleman National Fish Hatchery,H,2002,246,28.248
VE271,CNH,Coleman National Fish Hatchery,H,2002,267,28.711
VE268,CNH,Coleman National Fish Hatchery,H,2002,256,28.716
VE234,CNH,Coleman National Fish Hatchery,H,2002,261,29.189
VE381,CNH,Coleman National Fish Hatchery,H,2002,238,29.263
VE235,CNH,Coleman National Fish Hatchery,H,2002,292,29.285
VE552,CNH,Coleman National Fish Hatchery,H,2002,226,30.026
VE379,CNH,Coleman National Fish Hatchery,H,2002,254,30.773
VE331,CNH,Coleman National Fish Hatchery,H,2002,294,30.814
VE380,CNH,Coleman National Fish Hatchery,H,2002,263,31.161
VE455,CNH,Coleman National Fish Hatchery,H,2002,335,31.588
VE509,CNH,Coleman National Fish Hatchery,H,2002,231,31.597
VE222,CNH,Coleman National Fish Hatchery,H,2002,290,31.85
VE263,CNH,Coleman National Fish Hatchery,H,2002,261,32.376
VE438,CNH,Coleman National Fish Hatchery,H,2002,294,32.676
VE406,CNH,Coleman National Fish Hatchery,H,2002,316,32.718
VE415,CNH,Coleman National Fish Hatchery,H,2002,335,32.718
VE417,CNH,Coleman National Fish Hatchery,H,2002,317,32.925
VE317,CNH,Coleman National Fish Hatchery,H,2002,286,32.965
VE318,CNH,Coleman National Fish Hatchery,H,2002,329,33.074
VE213,CNH,Coleman National Fish Hatchery,H,2002,309,33.479
VE422,CNH,Coleman National Fish Hatchery,H,2002,319,33.712
VE112,CNH,Coleman National Fish Hatchery,H,2002,305,33.748
VE290,CNH,Coleman National Fish Hatchery,H,2002,318,33.753
VE323,CNH,Coleman National Fish Hatchery,H,2002,307,34.132
VE366,CNH,Coleman National Fish Hatchery,H,2002,323,34.142
VE328,CNH,Coleman National Fish Hatchery,H,2002,327,34.272
VE106,CNH,Coleman National Fish Hatchery,H,2002,286,34.385
VE475,CNH,Coleman National Fish Hatchery,H,2002,325,34.48
VE204,CNH,Coleman National Fish Hatchery,H,2002,313,34.754
VE202,CNH,Coleman National Fish Hatchery,H,2002,320,35.031
VE150,CNH,Coleman National Fish Hatchery,H,2002,312,35.075
VE212,CNH,Coleman National Fish Hatchery,H,2002,335,35.367
VE524,CNH,Coleman National Fish Hatchery,H,2002,318,35.481
VE199,CNH,Coleman National Fish Hatchery,H,2002,314,35.512
VE293,CNH,Coleman National Fish Hatchery,H,2002,342,36.06
VE185,CNH,Coleman National Fish Hatchery,H,2002,331,36.086
VE163,CNH,Coleman National Fish Hatchery,H,2002,301,36.191
VE173,CNH,Coleman National Fish Hatchery,H,2002,316,36.371
VE338,CNH,Coleman National Fish Hatchery,H,2002,316,37.506
SG150051,GG (ee),Golden Gate,?,2005,503.0666,83
SG150052,GG (ee),Golden Gate,?,2005,493.3247,81
SG150053,GG (ee),Golden Gate,?,2005,605.3589,77
SG150054,GG (ee),Golden Gate,?,2005,481.688,74
SG150055,GG (ee),Golden Gate,?,2005,518.2201,75
SG150056,GG (ee),Golden Gate,?,2005,558.5471,90
SG150062,GG (ee),Golden Gate,?,2005,579.6,84
SG150064,GG (ee),Golden Gate,?,2005,565.0405,78
SG150075,GG (ee),Golden Gate,?,2005,740.2884,114
SG150077,GG (ee),Golden Gate,?,2005,632.51,79
SG150078,GG (ee),Golden Gate,?,2005,629.1,94
SG150080,GG (ee),Golden Gate,?,2005,440.8256,74
